recipes_original_name,category
Brongkos Waluh Djipang,LAUK PAUK BASAH - BERKUAH
Djambrai Sagar,LAUK PAUK BASAH - BERKUAH
Djangan Singang,LAUK PAUK BASAH - BERKUAH
Djukut Ares,LAUK PAUK BASAH - BERKUAH
Djukut Daun Belimbing,LAUK PAUK BASAH - BERKUAH
Djukut Meliklik,LAUK PAUK BASAH - BERKUAH
Djukut Mapelapah,LAUK PAUK BASAH - BERKUAH
Djukut Mapeletjing,LAUK PAUK BASAH - BERKUAH
Djukut Rambanan,LAUK PAUK BASAH - BERKUAH
Djukut Roroban,LAUK PAUK BASAH - BERKUAH
Gangan Asem Kering,LAUK PAUK BASAH - BERKUAH
Gangan Daun Mengkudu,LAUK PAUK BASAH - BERKUAH
Gangan Katjang Hidjau,LAUK PAUK BASAH - BERKUAH
Gangan Tungkul,LAUK PAUK BASAH - BERKUAH
Gangan Waluh,LAUK PAUK BASAH - BERKUAH
Gulai Ajam,LAUK PAUK BASAH - BERKUAH
Gulai Asam Pedas Ikan,LAUK PAUK BASAH - BERKUAH
Gulai Bagar,LAUK PAUK BASAH - BERKUAH
Gulai Bebek,LAUK PAUK BASAH - BERKUAH
Gulai Bebek Masak Hidjau,LAUK PAUK BASAH - BERKUAH
Ajam Masak Ambon,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Masak Bugis,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Masak Hidjau,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Masak Paniki,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Masak Santan,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Pangek,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Ritja,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Seraki Pedas,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Saos,LAUK PAUK BASAH TIDAK BERKUAH
Ang Sio Hi,LAUK PAUK BASAH TIDAK BERKUAH
Anjang Anjang,LAUK PAUK BASAH TIDAK BERKUAH
Ares,LAUK PAUK BASAH TIDAK BERKUAH
Ase,LAUK PAUK BASAH TIDAK BERKUAH
Ase Lombok,LAUK PAUK BASAH TIDAK BERKUAH
Ase Ubi Djalar,LAUK PAUK BASAH TIDAK BERKUAH
Asam Padeh,LAUK PAUK BASAH TIDAK BERKUAH
Asam Padeh Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Asem Asem Pedas Udang,LAUK PAUK BASAH TIDAK BERKUAH
Asem Asem Udang,LAUK PAUK BASAH TIDAK BERKUAH
Atjar,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Bawang,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Bawang Merah,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Buntjis,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Gala Gala,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Djagung Mentah,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Gurami,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Ikan Bandeng,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Ikan Emas,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Ketimun,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Ketimun dan Widjen,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Ketimun tanpa Tjuka,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Mentah,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Ramping,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Tahu,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Telur,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Timor,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Tjampur,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Tomat Mentah,LAUK PAUK BASAH TIDAK BERKUAH
Atjar Udang,LAUK PAUK BASAH TIDAK BERKUAH
Aunu Senebre,LAUK PAUK BASAH TIDAK BERKUAH
Aunuve Habre,LAUK PAUK BASAH TIDAK BERKUAH
Babi Ketjap,LAUK PAUK BASAH TIDAK BERKUAH
Babi Tijen,LAUK PAUK BASAH TIDAK BERKUAH
Bakut Masak Sajur Asin,LAUK PAUK BASAH TIDAK BERKUAH
Bau Diandjoroi,LAUK PAUK BASAH TIDAK BERKUAH
Bau Peapi,LAUK PAUK BASAH TIDAK BERKUAH
Bawang Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Bawang Sebungkul,LAUK PAUK BASAH TIDAK BERKUAH
Bebek Bumbu Bali,LAUK PAUK BASAH TIDAK BERKUAH
Bebek Bumbu Mangut,LAUK PAUK BASAH TIDAK BERKUAH
Be Genjol,LAUK PAUK BASAH TIDAK BERKUAH
Beko,LAUK PAUK BASAH TIDAK BERKUAH
Belado Belut,LAUK PAUK BASAH TIDAK BERKUAH
Belado Dendeng,LAUK PAUK BASAH TIDAK BERKUAH
Belado Ikan Salai,LAUK PAUK BASAH TIDAK BERKUAH
Belado Peda,LAUK PAUK BASAH TIDAK BERKUAH
Belado Telur,LAUK PAUK BASAH TIDAK BERKUAH
Belado Teri,LAUK PAUK BASAH TIDAK BERKUAH
Berengkes Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Berengkes Tempojak,LAUK PAUK BASAH TIDAK BERKUAH
Besengek,LAUK PAUK BASAH TIDAK BERKUAH
Besengek Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Besengek Bebek,LAUK PAUK BASAH TIDAK BERKUAH
Besengek Daging,LAUK PAUK BASAH TIDAK BERKUAH
Besengek Tempe,LAUK PAUK BASAH TIDAK BERKUAH
Betutu,LAUK PAUK BASAH TIDAK BERKUAH
Bikia,LAUK PAUK BASAH TIDAK BERKUAH
Binde Biluhuta,LAUK PAUK BASAH TIDAK BERKUAH
Bistik Daging Saos Susu,LAUK PAUK BASAH TIDAK BERKUAH
Bistik Djerman,LAUK PAUK BASAH TIDAK BERKUAH
Bistik Ketimun,LAUK PAUK BASAH TIDAK BERKUAH
Bistik Tempe,LAUK PAUK BASAH TIDAK BERKUAH
Bong Dja Kee Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Botok,LAUK PAUK BASAH TIDAK BERKUAH
Botok Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Botok Bekasem,LAUK PAUK BASAH TIDAK BERKUAH
Botok Blenjik,LAUK PAUK BASAH TIDAK BERKUAH
Botok Daun Singkong,LAUK PAUK BASAH TIDAK BERKUAH
Ombus Ombus,DJADJANAN
Onde Onde,DJADJANAN
Ongklok Singkong,DJADJANAN
Ongol Ongol,DJADJANAN
Ongol Ongol Ubi,DJADJANAN
Ontbijtkoek Bekatul,DJADJANAN
Djagung,DJADJANAN
Onnouve,DJADJANAN
Opak Opak,DJADJANAN
Oran Oran,DJADJANAN
Pah Tapah,DJADJANAN
Pak Tepak,DJADJANAN
Pandut Nasi,DJADJANAN
Panggang Siti,DJADJANAN
Pangsit,DJADJANAN
Panset Cake,DJADJANAN
Pastel Bandeng,DJADJANAN
Pastel Goreng,DJADJANAN
Pastel Singkong,DJADJANAN
Pasung,DJADJANAN
Patola,DJADJANAN
Pantjua,DJADJANAN
Pehula,DJADJANAN
Pesor Aron,DJADJANAN
Pilus,DJADJANAN
Pionng Bara Pulu,DJADJANAN
Pisang Goreng,DJADJANAN
Pisang Goreng Tepung,DJADJANAN
Pisang Rai,DJADJANAN
Plenggong,DJADJANAN
Plentung,DJADJANAN
Pletjong,DJADJANAN
Pluntir,DJADJANAN
Poding Buah²an,DJADJANAN
Poding Djagung,DJADJANAN
Poding Pati Djagung,DJADJANAN
Poding Pisang,DJADJANAN
Poding Puan (Kopjor),DJADJANAN
Poding Singkong,DJADJANAN
Poding Tape,DJADJANAN
Poding Tjoklat Pakai Agar²,DJADJANAN
Poffertjes,DJADJANAN
Polenta,DJADJANAN
Ponsa,DJADJANAN
Potji,DJADJANAN
Poto Kering,DJADJANAN
Potongan Pantasi,DJADJANAN
Potu Njillem,DJADJANAN
Pozole Jalisco Style,DJADJANAN
Prol Singkong,DJADJANAN
Prol Peujeum,DJADJANAN
Pujur,DJADJANAN
Puro,DJADJANAN
Putji,DJADJANAN
Putri Basuman,DJADJANAN
Putri Kentjana,DJADJANAN
Putri Barukung,DJADJANAN
Putu Bakiris,DJADJANAN
Putu Bumbung,DJADJANAN
Putu Majang,DJADJANAN
Rangin,DJADJANAN
Ranting Kedju,DJADJANAN
Ras Karas,DJADJANAN
Rengginang,DJADJANAN
Ringging,DJADJANAN
RisoIles,DJADJANAN
RisoIes Djagung,DJADJANAN
Rondo Kemul,DJADJANAN
Rondo RoiaI,DJADJANAN
Roti Djagung,DJADJANAN
Roti Kukus dari Bekatul,DJADJANAN
Roti Manihot,DJADJANAN
Roti Manis,DJADJANAN
Roti Nanas dari Singkong,DJADJANAN
Roti Pisang,DJADJANAN
Roti Sultana,DJADJANAN
Rudjak Kangkung,DJADJANAN
Rudjak Mi,DJADJANAN
Rudjak Semanggi,DJADJANAN
Rudjak Tahu Saos Tjuka,DJADJANAN
Rudjak Tjerobo,DJADJANAN
Sagon Djagung,DJADJANAN
Sagon Ketan,DJADJANAN
Sagu Gula,DJADJANAN
Sambu Katjuk,DJADJANAN
Sampeng,DJADJANAN
Santeling,DJADJANAN
Saplak,DJADJANAN
Sari Muka,DJADJANAN
Sari Rasa Ketan,DJADJANAN
Sari Penganten,DJADJANAN
Sawut,DJADJANAN
Semar Mendem,DJADJANAN
Semorondono,DJADJANAN
Semporo,DJADJANAN
Serabi,DJADJANAN
Serabi (Madiun),DJADJANAN
Serabi Djagung,DJADJANAN
Serabi Pakai Udang,DJADJANAN
Serabi Telur,DJADJANAN
Seriping Kentang,DJADJANAN
Seriping Singkong,DJADJANAN
Setup Djambu Bidji,DJADJANAN
Singkong Selai Nanas,DJADJANAN
Sinolia (Panekoek),DJADJANAN
Siri Manis,DJADJANAN
Sigit,DJADJANAN
Slei,DJADJANAN
Slondok,DJADJANAN
Sokko Kakkala,DJADJANAN
Sorpot,DJADJANAN
Spekkoek Singkong,DJADJANAN
Spekulas,DJADJANAN
Sprit Tepung Tapioka,DJADJANAN
Srikaja Bakar,DJADJANAN
Sumpiah,DJADJANAN
Sumpit Tanah,DJADJANAN
Srikaja,DJADJANAN
Susu Eok,DJADJANAN
Susu Goreng,DJADJANAN
Susu Singkong,DJADJANAN
Taart Amandel,DJADJANAN
Taart Beschuit,DJADJANAN
Taart Buah,DJADJANAN
Taart Djantung Hati,DJADJANAN
Taart Gulung,DJADJANAN
Taart Kelapa,DJADJANAN
Taart Kelapa Muda,DJADJANAN
Taart Kedju,DJADJANAN
Taart Kopi Mocca,DJADJANAN
Taart Marmer,DJADJANAN
Taart Nasi,DJADJANAN
Taart Panili,DJADJANAN
Taart Room,DJADJANAN
Taart Semangka,DJADJANAN
Taart Singkong,DJADJANAN
Taart Singkong Buah-an,DJADJANAN
Taart Tape Singkong,DJADJANAN
Taart Tape Ubi,DJADJANAN
Taart Waluh Djipang,DJADJANAN
Tahu Bumbu Ketjap,DJADJANAN
Tahu Gedjrot,DJADJANAN
Tahu Guling,DJADJANAN
Takar Katul,DJADJANAN
Talas Manis,DJADJANAN
Tami,DJADJANAN
Tattabun,DJADJANAN
Tawonan Djagung,DJADJANAN
Tegelte,DJADJANAN
Tek Getek,DJADJANAN
Telur Belanak,DJADJANAN
Tengteng Katjang,DJADJANAN
Tetel,DJADJANAN
Timhan (Lepet),DJADJANAN
Timus,DJADJANAN
Timus Isi,DJADJANAN
Timus Panggang,DJADJANAN
Tiwul Tepung Djagung,DJADJANAN
Tjakar Ajam,DJADJANAN
Sambal Goreng Katjang Hidjau,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Kemamah,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Kembang Kates,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Kentang,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Kol,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Kotok Ikan,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Kretjek,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Lombok,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Lombok Hidjau,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Panas Hati,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Pepadja Muda,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Perentil,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Petis,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Tahu,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Taotjo,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Telur,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Telur dengan Peda,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Tempe,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Tomat,LAUK PAUK BASAH - BERKUAH
Sambal Goreng Terasi,LAUK PAUK BASAH - BERKUAH
Semur Ajam,LAUK PAUK BASAH - BERKUAH
Semur Bajam,LAUK PAUK BASAH - BERKUAH
Semur Daging,LAUK PAUK BASAH - BERKUAH
Semur Djengkol,LAUK PAUK BASAH - BERKUAH
Semur Goreng,LAUK PAUK BASAH - BERKUAH
Semur Ikan Tambak,LAUK PAUK BASAH - BERKUAH
Semur Kangkung,LAUK PAUK BASAH - BERKUAH
Semur Lidah,LAUK PAUK BASAH - BERKUAH
Semur Tahu,LAUK PAUK BASAH - BERKUAH
Semur Terong,LAUK PAUK BASAH - BERKUAH
Semur Ternate,LAUK PAUK BASAH - BERKUAH
Semur Tomat,LAUK PAUK BASAH - BERKUAH
Serosop,LAUK PAUK BASAH - BERKUAH
Sop Ajam,LAUK PAUK BASAH - BERKUAH
Sop Ajam dengan Djagung,LAUK PAUK BASAH - BERKUAH
Sop Bajam Keong,LAUK PAUK BASAH - BERKUAH
Sop Bawang,LAUK PAUK BASAH - BERKUAH
Sop Daging Giling dengan Djagung,LAUK PAUK BASAH - BERKUAH
Sop Djagung,LAUK PAUK BASAH - BERKUAH
Sop Djagung Pakai Tomat,LAUK PAUK BASAH - BERKUAH
Sop Djamur Pajung,LAUK PAUK BASAH - BERKUAH
Sop Ertjis,LAUK PAUK BASAH - BERKUAH
Sop Ikan,LAUK PAUK BASAH - BERKUAH
Sop Ikan Banjar,LAUK PAUK BASAH - BERKUAH
Sop Julienne,LAUK PAUK BASAH - BERKUAH
Sop Kare,LAUK PAUK BASAH - BERKUAH
Sop Katjang Hidjau,LAUK PAUK BASAH - BERKUAH
Sop Kepiting Asperges,LAUK PAUK BASAH - BERKUAH
Sop Londonderry,LAUK PAUK BASAH - BERKUAH
Sop Macaroni,LAUK PAUK BASAH - BERKUAH
Sop Ojong,LAUK PAUK BASAH - BERKUAH
Sop Sawi Telur,LAUK PAUK BASAH - BERKUAH
Sop Sarang Burung,LAUK PAUK BASAH - BERKUAH
Sop Singkong,LAUK PAUK BASAH - BERKUAH
Sop Sumsum,LAUK PAUK BASAH - BERKUAH
Sop Ternate,LAUK PAUK BASAH - BERKUAH
Sop Tomat Isi Daging,LAUK PAUK BASAH - BERKUAH
Sop Tortilla,LAUK PAUK BASAH - BERKUAH
Soto Ajam,LAUK PAUK BASAH - BERKUAH
Soto Bandung,LAUK PAUK BASAH - BERKUAH
Soto Banten,LAUK PAUK BASAH - BERKUAH
Soto Kedu,LAUK PAUK BASAH - BERKUAH
Soto Madura,LAUK PAUK BASAH - BERKUAH
Soto Pamekasan,LAUK PAUK BASAH - BERKUAH
Soto Selada Air,LAUK PAUK BASAH - BERKUAH
Tuturaga,LAUK PAUK BASAH - BERKUAH
Tuturaga Penju,LAUK PAUK BASAH - BERKUAH
Ajam Bumbu Menado,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Bumbu Rudjak,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Djeruk Nipis,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Isi Dibulu,LAUK PAUK BASAH TIDAK BERKUAH
Ajam Makaroni,LAUK PAUK BASAH TIDAK BERKUAH
Oblok Oblok,LAUK PAUK BASAH TIDAK BERKUAH
Oblok Oblok Daun Singkong,LAUK PAUK BASAH TIDAK BERKUAH
Oblok Oblok Ontjom,LAUK PAUK BASAH TIDAK BERKUAH
Oblok Oblok Tempe Bosok,LAUK PAUK BASAH TIDAK BERKUAH
Oblok Oblok Tempe Bungkil,LAUK PAUK BASAH TIDAK BERKUAH
Orak Arik,LAUK PAUK BASAH TIDAK BERKUAH
Orak Arik Djagung,LAUK PAUK BASAH TIDAK BERKUAH
Orak Arik Peda,LAUK PAUK BASAH TIDAK BERKUAH
Orak Arik Pindang,LAUK PAUK BASAH TIDAK BERKUAH
Orem Orem,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Buntjis,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Daun Pakis,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Djagung,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Gendjer,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Gesek,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Kangkung,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Katjan Pandjang,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Kroto,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Labu Siam,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Lombok Hidjau,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Nangka Muda,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Pepaja Muda,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Pare,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Sawi,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Tahu Pedas,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Taoge,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Tempe,LAUK PAUK BASAH TIDAK BERKUAH
Oseng Oseng Tjampr,LAUK PAUK BASAH TIDAK BERKUAH
Otak Otak,LAUK PAUK BASAH TIDAK BERKUAH
Otak Otak Bandeng,LAUK PAUK BASAH TIDAK BERKUAH
Otak Otak Pipih,LAUK PAUK BASAH TIDAK BERKUAH
Otak Otak Udang,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Kaloa,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Katji,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Kesang,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Konro,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Mara,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Mara Tjakalang,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Sanroh,LAUK PAUK BASAH TIDAK BERKUAH
Pallu Tjella,LAUK PAUK BASAH TIDAK BERKUAH
Pangek Basantan,LAUK PAUK BASAH TIDAK BERKUAH
Pangek Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Pangek Katjang,LAUK PAUK BASAH TIDAK BERKUAH
Papa Kambong,LAUK PAUK BASAH TIDAK BERKUAH
Papare,LAUK PAUK BASAH TIDAK BERKUAH
Papeda,LAUK PAUK BASAH TIDAK BERKUAH
Parapae,LAUK PAUK BASAH TIDAK BERKUAH
Pare Isi Bumbu Kuluban,LAUK PAUK BASAH TIDAK BERKUAH
Patjri,LAUK PAUK BASAH TIDAK BERKUAH
Peda Bumbu Santan,LAUK PAUK BASAH TIDAK BERKUAH
Peda Tim,LAUK PAUK BASAH TIDAK BERKUAH
Pelas,LAUK PAUK BASAH TIDAK BERKUAH
Pelas Belimbing,LAUK PAUK BASAH TIDAK BERKUAH
Pelas Kedele,LAUK PAUK BASAH TIDAK BERKUAH
Pelas Kentang,LAUK PAUK BASAH TIDAK BERKUAH
Pelas Tawon,LAUK PAUK BASAH TIDAK BERKUAH
Pelas Udang,LAUK PAUK BASAH TIDAK BERKUAH
Peletjing Kangkung,LAUK PAUK BASAH TIDAK BERKUAH
Peletjing Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Buwe,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Djagung,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Djagung Muda,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Djantung Pisang,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Ikan Lele,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Ikan Panggang,LAUK PAUK BASAH TIDAK BERKUAH
Pentjok Ketjombrang,LAUK PAUK BASAH TIDAK BERKUAH
Penjon,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Daun Mangkokan,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Djagung Muda,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Djagung,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Galendo,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Keluwak,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Ketek dan Daun Mengkudu,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Nasi,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Kuah,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Tjuka,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Tjuka Ole,LAUK PAUK BASAH TIDAK BERKUAH
Jilabulo,LAUK PAUK BASAH TIDAK BERKUAH
Kantjah Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Karedok,LAUK PAUK BASAH TIDAK BERKUAH
Karsigu,LAUK PAUK BASAH TIDAK BERKUAH
Kek Oang,LAUK PAUK BASAH TIDAK BERKUAH
Kekojon,LAUK PAUK BASAH TIDAK BERKUAH
Kembu Paria,LAUK PAUK BASAH TIDAK BERKUAH
Kendo Udang,LAUK PAUK BASAH TIDAK BERKUAH
Kentang Saos Tomat,LAUK PAUK BASAH TIDAK BERKUAH
Kotokan Gereh Tongkol,LAUK PAUK BASAH TIDAK BERKUAH
Kuluban,LAUK PAUK BASAH TIDAK BERKUAH
Kuluban Krema,LAUK PAUK BASAH TIDAK BERKUAH
Kuluban Lembajung,LAUK PAUK BASAH TIDAK BERKUAH
Kuluban Megono,LAUK PAUK BASAH TIDAK BERKUAH
Labu Air Isi Bakso,LAUK PAUK BASAH TIDAK BERKUAH
Labu Masak Santan,LAUK PAUK BASAH TIDAK BERKUAH
Laksa,LAUK PAUK BASAH TIDAK BERKUAH
Laksa Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Laksan,LAUK PAUK BASAH TIDAK BERKUAH
Lalap Aru,LAUK PAUK BASAH TIDAK BERKUAH
Lapis Daging,LAUK PAUK BASAH TIDAK BERKUAH
Lapis Menado,LAUK PAUK BASAH TIDAK BERKUAH
Lapis Palaro,LAUK PAUK BASAH TIDAK BERKUAH
Lapis Panir dengan Kuah Susu,LAUK PAUK BASAH TIDAK BERKUAH
Lapis Portegis,LAUK PAUK BASAH TIDAK BERKUAH
Lapis Surabaja,LAUK PAUK BASAH TIDAK BERKUAH
Lapis Telur,LAUK PAUK BASAH TIDAK BERKUAH
Lauk Gadang,LAUK PAUK BASAH TIDAK BERKUAH
Lawa Manu,LAUK PAUK BASAH TIDAK BERKUAH
Lawa Udang,LAUK PAUK BASAH TIDAK BERKUAH
Lawar Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Lawar Merah,LAUK PAUK BASAH TIDAK BERKUAH
Lawar Putih,LAUK PAUK BASAH TIDAK BERKUAH
Lawar Sajuran,LAUK PAUK BASAH TIDAK BERKUAH
Lempok Ikan Laut,LAUK PAUK BASAH TIDAK BERKUAH
Lidah Sapi,LAUK PAUK BASAH TIDAK BERKUAH
Linggardjati,LAUK PAUK BASAH TIDAK BERKUAH
Lombok Isi Udang,LAUK PAUK BASAH TIDAK BERKUAH
Loto,LAUK PAUK BASAH TIDAK BERKUAH
Lostro,LAUK PAUK BASAH TIDAK BERKUAH
Lumut Lumut,LAUK PAUK BASAH TIDAK BERKUAH
Lula Djakarta,LAUK PAUK BASAH TIDAK BERKUAH
Lula Makasar,LAUK PAUK BASAH TIDAK BERKUAH
Magadip,LAUK PAUK BASAH TIDAK BERKUAH
Mahbub,LAUK PAUK BASAH TIDAK BERKUAH
Malbi,LAUK PAUK BASAH TIDAK BERKUAH
Malbi Hati,LAUK PAUK BASAH TIDAK BERKUAH
Mangarsik,LAUK PAUK BASAH TIDAK BERKUAH
Manuk Dang,LAUK PAUK BASAH TIDAK BERKUAH
Masak Antep,LAUK PAUK BASAH TIDAK BERKUAH
Masak Habang,LAUK PAUK BASAH TIDAK BERKUAH
Masak Kambing,LAUK PAUK BASAH TIDAK BERKUAH
Masak Kuning,LAUK PAUK BASAH TIDAK BERKUAH
Masakan Daging,LAUK PAUK BASAH TIDAK BERKUAH
Masin,LAUK PAUK BASAH TIDAK BERKUAH
Megono,LAUK PAUK BASAH TIDAK BERKUAH
Memangut,LAUK PAUK BASAH TIDAK BERKUAH
Mesre Daging,LAUK PAUK BASAH TIDAK BERKUAH
Muluga,LAUK PAUK BASAH TIDAK BERKUAH
Musaga,LAUK PAUK BASAH TIDAK BERKUAH
Namalum Malum,LAUK PAUK BASAH TIDAK BERKUAH
Nani Arsik Arsik,LAUK PAUK BASAH TIDAK BERKUAH
Nani Gotaan,LAUK PAUK BASAH TIDAK BERKUAH
Nani Ura,LAUK PAUK BASAH TIDAK BERKUAH
Nasinorbuk,LAUK PAUK BASAH TIDAK BERKUAH
Nasu Kadonteng,LAUK PAUK BASAH TIDAK BERKUAH
Nasu Likku,LAUK PAUK BASAH TIDAK BERKUAH
Nasu Tjemba,LAUK PAUK BASAH TIDAK BERKUAH
Nasu Wolio,LAUK PAUK BASAH TIDAK BERKUAH
Nihasumba,LAUK PAUK BASAH TIDAK BERKUAH
Nilabar,LAUK PAUK BASAH TIDAK BERKUAH
Nilomang,LAUK PAUK BASAH TIDAK BERKUAH
Njat Njatan Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Njomok Tempe,LAUK PAUK BASAH TIDAK BERKUAH
Norohombi,LAUK PAUK BASAH TIDAK BERKUAH
Tjakra,DJADJANAN
Tjala Isi,DJADJANAN
Tjapeng,DJADJANAN
Tjorobikang,DJADJANAN
Tjara Bikang,DJADJANAN
Tjara Berdapa,DJADJANAN
Tjara Gesing,DJADJANAN
Tjekah,DJADJANAN
Tjelempungan,DJADJANAN
Tjemplon,DJADJANAN
Tjengkir Manis,DJADJANAN
Tjenil,DJADJANAN
Tjeriping Sukun,DJADJANAN
Tjimprung,DJADJANAN
Tjingkiang,DJADJANAN
Tjotot,DJADJANAN
Tjukok,DJADJANAN
Tjutjur Loka,DJADJANAN
Toli Toli,DJADJANAN
Topeng Manaung,DJADJANAN
Towok,DJADJANAN
Tuk Bentul,DJADJANAN
Tulband,DJADJANAN
Tumbi,DJADJANAN
Ulen,DJADJANAN
Ulin Ulin,DJADJANAN
Unti Aron,DJADJANAN
Utri Djagung,DJADJANAN
Vanei,DJADJANAN
Vitello Sprits,DJADJANAN
Wadjik,DJADJANAN
Wadjik Kentang,DJADJANAN
Wadjik Kletik,DJADJANAN
Widaran,DJADJANAN
Badjigur,MINUMAN
Bowl Buah'an,MINUMAN
Cacao Telur,MINUMAN
